"Class","Family","Genus","Kingdom","name","Order","Phylum","RAmean","RARange","RAsum","selected","shared name","X"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV58_ANPR","Rhizobiales","Proteobacteria","3.38925727589201E-4","Q4","0.0338925727589201","false","ASV58_ANPR","ASV58"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV56_ANPR","Rhizobiales","Proteobacteria","3.60841581509994E-4","Q4","0.0360841581509994","false","ASV56_ANPR","ASV56"
"Alphaproteobacteria","Rhizobiaceae","unknown","Bacteria","ASV43_unknown","Rhizobiales","Proteobacteria","4.76415403941363E-4","Q4","0.0476415403941363","false","ASV43_unknown","ASV43"
"Alphaproteobacteria","Rhizobiaceae","unknown","Bacteria","ASV27_unknown","Rhizobiales","Proteobacteria","0.00122987991322691","Q4","0.122987991322691","false","ASV27_unknown","ASV27"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV250_Mesorhizobium","Rhizobiales","Proteobacteria","3.98979830572214E-5","Q2","0.00398979830572214","false","ASV250_Mesorhizobium","ASV250"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV244_ANPR","Rhizobiales","Proteobacteria","3.85326675918693E-5","Q2","0.00385326675918693","false","ASV244_ANPR","ASV244"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV231_Mesorhizobium","Rhizobiales","Proteobacteria","4.37600498201005E-5","Q2","0.00437600498201005","false","ASV231_Mesorhizobium","ASV231"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV217_Mesorhizobium","Rhizobiales","Proteobacteria","4.51287340790605E-5","Q2","0.00451287340790605","false","ASV217_Mesorhizobium","ASV217"
"Alphaproteobacteria","Rhizobiaceae","unknown","Bacteria","ASV202_unknown","Rhizobiales","Proteobacteria","5.17236370669032E-5","Q2","0.00517236370669032","false","ASV202_unknown","ASV202"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV188_Mesorhizobium","Rhizobiales","Proteobacteria","5.7009860242287E-5","Q2","0.0057009860242287","false","ASV188_Mesorhizobium","ASV188"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV166_Mesorhizobium","Rhizobiales","Proteobacteria","8.02309889319886E-5","Q3","0.00802309889319886","false","ASV166_Mesorhizobium","ASV166"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV144_ANPR","Rhizobiales","Proteobacteria","7.5619351423656E-5","Q3","0.0075619351423656","false","ASV144_ANPR","ASV144"
