,H2S2,CV,ASV
ASV37_unknown,0.010925574465845574,2,ASV37_unknown
ASV61_ANPR,0.009757129867707234,2,ASV61_ANPR
ASV49_ANPR,0.009517335783070832,2,ASV49_ANPR
ASV97_ANPR,0.00944024033159676,2,ASV97_ANPR
ASV68_Mesorhizobium,0.007888563176269792,2,ASV68_Mesorhizobium
ASV84_Mesorhizobium,0.007519869186599229,2,ASV84_Mesorhizobium
ASV109_Mesorhizobium,0.00735825379320835,2,ASV109_Mesorhizobium
ASV72_ANPR,0.007310975415143077,2,ASV72_ANPR
ASV117_ANPR,0.007115830703122029,2,ASV117_ANPR
ASV120_ANPR,0.0065311632505609,2,ASV120_ANPR
ASV26_Mesorhizobium,0.00645510894778872,2,ASV26_Mesorhizobium
ASV121_Mesorhizobium,0.00595124919192303,2,ASV121_Mesorhizobium
ASV78_ANPR,0.0054186278564931625,2,ASV78_ANPR
ASV89_ANPR,0.00510054811232738,2,ASV89_ANPR
ASV75_ANPR,0.004951105122284492,2,ASV75_ANPR
ASV142_unknown,0.0047914210746473,2,ASV142_unknown
ASV106_Mesorhizobium,0.004737898473967624,2,ASV106_Mesorhizobium
ASV71_unknown,0.004704311064720249,2,ASV71_unknown
ASV82_ANPR,0.004180208967105217,2,ASV82_ANPR
ASV158_Mesorhizobium,0.0038454956839183204,2,ASV158_Mesorhizobium
ASV160_Mesorhizobium,0.00383123550214853,2,ASV160_Mesorhizobium
ASV170_Mesorhizobium,0.00353652507890634,2,ASV170_Mesorhizobium
ASV185_unknown,0.0034794843518272,2,ASV185_unknown
ASV95_ANPR,0.003349033057581665,2,ASV95_ANPR
ASV126_unknown,0.0030198064707342405,2,ASV126_unknown
ASV171_Pseudomonas,0.00299050988481639,2,ASV171_Pseudomonas
ASV60_Mesorhizobium,0.0025425514702811713,2,ASV60_Mesorhizobium
ASV254_ANPR,0.00238620374947713,2,ASV254_ANPR
ASV247_Mesorhizobium,0.0022673689013956,2,ASV247_Mesorhizobium
ASV176_unknown,0.0022327472894720316,2,ASV176_unknown
ASV154_ANPR,0.002214035066415698,2,ASV154_ANPR
ASV118_Mesorhizobium,0.0021373059306180695,2,ASV118_Mesorhizobium
ASV218_Variovorax,0.0020127469423672113,2,ASV218_Variovorax
ASV137_ANPR,0.001959906454843397,2,ASV137_ANPR
ASV281_Mesorhizobium,0.0018918507814579602,2,ASV281_Mesorhizobium
ASV139_ANPR,0.0018555887265709592,2,ASV139_ANPR
ASV178_unknown,0.0017366624018274228,2,ASV178_unknown
ASV133_ANPR,0.001665357558691285,2,ASV133_ANPR
ASV401_Caulobacter,0.00158456689465223,2,ASV401_Caulobacter
ASV348_unknown,0.00136422405597597,2,ASV348_unknown
ASV162_ANPR,0.0013415044205834768,2,ASV162_ANPR
ASV215_Mesorhizobium,0.001219165502847912,2,ASV215_Mesorhizobium
ASV80_ANPR,0.001124515921780405,2,ASV80_ANPR
ASV153_ANPR,0.0010687880993187587,2,ASV153_ANPR
ASV261_ANPR,0.001066936054515858,2,ASV261_ANPR
ASV632_unknown,0.000933453952486041,2,ASV632_unknown
ASV560_unknown,0.0008802830299599092,2,ASV560_unknown
ASV74_ANPR,0.0008699617192002647,2,ASV74_ANPR
ASV41_unknown,0.0008068487853432518,2,ASV41_unknown
ASV523_unknown,0.0007240717009515423,2,ASV523_unknown
ASV76_Mesorhizobium,0.0006953099609851177,2,ASV76_Mesorhizobium
ASV748_Mesorhizobium,0.000632201391793741,2,ASV748_Mesorhizobium
ASV380_ANPR,0.000584666550239561,2,ASV380_ANPR
ASV853_Caulobacter,0.000549302847116489,2,ASV853_Caulobacter
ASV733_unknown,0.0005290231441449614,2,ASV733_unknown
ASV569_unknown,0.000472910268136043,2,ASV569_unknown
ASV2_Mesorhizobium,0.0004353109676801541,2,ASV2_Mesorhizobium
ASV756_Mesorhizobium,0.0004301372726087514,2,ASV756_Mesorhizobium
ASV920_ANPR,0.00042780545309350896,2,ASV920_ANPR
ASV869_ANPR,0.00041829866524698597,2,ASV869_ANPR
ASV451_ANPR,0.0003641644834600823,2,ASV451_ANPR
ASV1396_unknown,0.000334199563235743,2,ASV1396_unknown
ASV157_unknown,0.0003230801179116838,2,ASV157_unknown
ASV852_Mesorhizobium,0.0003194853074783309,2,ASV852_Mesorhizobium
ASV1257_unknown,0.000318477392858501,2,ASV1257_unknown
ASV1049_unknown,0.00029583608602796096,2,ASV1049_unknown
ASV1395_unknown,0.00027569684754915,2,ASV1395_unknown
ASV311_ANPR,0.000270816887449654,2,ASV311_ANPR
ASV1431_unknown,0.00026619005970262796,2,ASV1431_unknown
ASV1430_unknown,0.00026619005970262796,2,ASV1430_unknown
ASV1168_ANPR,0.00025307091802684187,2,ASV1168_ANPR
ASV306_Mesorhizobium,0.00020714756224261792,2,ASV306_Mesorhizobium
ASV6_Mesorhizobium,0.0002015178860112761,2,ASV6_Mesorhizobium
ASV1191_unknown,0.00019479358051210162,2,ASV1191_unknown
ASV1223_Mesorhizobium,0.0001312873530764799,2,ASV1223_Mesorhizobium
ASV1464_unknown,0.00010923248989340057,2,ASV1464_unknown
ASV67_Mesorhizobium,0.00010144523938361572,2,ASV67_Mesorhizobium
ASV7_Mesorhizobium,9.950586605049807e-05,2,ASV7_Mesorhizobium
ASV1032_unknown,9.350169169921056e-05,2,ASV1032_unknown
ASV5_Mesorhizobium,7.474500232965928e-05,2,ASV5_Mesorhizobium
ASV14_Mesorhizobium,6.301365846444177e-05,2,ASV14_Mesorhizobium
ASV954_unknown,3.936913334703596e-05,2,ASV954_unknown
ASV13_Mesorhizobium,3.14284217694201e-05,2,ASV13_Mesorhizobium
ASV24_Mesorhizobium,3.0794564516372406e-05,2,ASV24_Mesorhizobium
ASV25_Mesorhizobium,2.0952281179613398e-05,2,ASV25_Mesorhizobium
ASV124_Mesorhizobium,1.5477632932122364e-05,2,ASV124_Mesorhizobium
ASV503_unknown,1.4763425005138475e-05,2,ASV503_unknown
ASV728_unknown,1.1524122870198e-05,2,ASV728_unknown
ASV45_Mesorhizobium,1.0476140589806699e-05,2,ASV45_Mesorhizobium
ASV338_Aminobacter,5.762061435099019e-06,2,ASV338_Aminobacter
ASV134_Mesorhizobium,5.762061435099019e-06,2,ASV134_Mesorhizobium
ASV10_Mesorhizobium,4.75339392326121e-06,2,ASV10_Mesorhizobium
ASV1481_unknown,0.0,2,ASV1481_unknown
ASV16_Mesorhizobium,0.0,2,ASV16_Mesorhizobium
ASV91_Mesorhizobium,0.0,2,ASV91_Mesorhizobium
ASV896_unknown,0.0,2,ASV896_unknown
ASV93_ANPR,0.0,2,ASV93_ANPR
ASV166_Mesorhizobium,0.0,2,ASV166_Mesorhizobium
ASV144_ANPR,0.0,2,ASV144_ANPR
ASV135_unknown,0.0,2,ASV135_unknown
ASV56_ANPR,0.0,2,ASV56_ANPR
ASV504_Mesorhizobium,0.0,2,ASV504_Mesorhizobium
ASV1258_ANPR,0.0,2,ASV1258_ANPR
ASV727_Mesorhizobium,0.0,2,ASV727_Mesorhizobium
ASV58_ANPR,0.0,2,ASV58_ANPR
ASV125_unknown,0.0,2,ASV125_unknown
ASV1186_Mesorhizobium,0.0,2,ASV1186_Mesorhizobium
ASV115_Mesorhizobium,0.0,2,ASV115_Mesorhizobium
ASV974_Mesorhizobium,0.0,2,ASV974_Mesorhizobium
ASV98_unknown,0.0,2,ASV98_unknown
ASV110_ANPR,0.0,2,ASV110_ANPR
ASV108_Mesorhizobium,0.0,2,ASV108_Mesorhizobium
ASV104_Mesorhizobium,0.0,2,ASV104_Mesorhizobium
ASV637_ANPR,0.0,2,ASV637_ANPR
ASV697_Mesorhizobium,0.0,2,ASV697_Mesorhizobium
